sample_name	filename	ATTRIBUTE_species	mapp_sample_id	tube_number	ATTRIBUTE_colony	number_of_ants_regurgitated	date	comments	sample_type
20220610_PMA_MAPP_01_21_01.mzML	20220610_PMA_MAPP_01_21_01.mzML	Myrmecocystus mexicanus	MAPP_01_21_01	1	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_02.mzML	20220610_PMA_MAPP_01_21_02.mzML	Myrmecocystus mexicanus	MAPP_01_21_02	2	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_03.mzML	20220610_PMA_MAPP_01_21_03.mzML	Myrmecocystus mexicanus	MAPP_01_21_03	3	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_04.mzML	20220610_PMA_MAPP_01_21_04.mzML	Myrmecocystus mexicanus	MAPP_01_21_04	4	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_05.mzML	20220610_PMA_MAPP_01_21_05.mzML	Myrmecocystus mexicanus	MAPP_01_21_05	5	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_06.mzML	20220610_PMA_MAPP_01_21_06.mzML	Myrmecocystus mexicanus	MAPP_01_21_06	6	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_07.mzML	20220610_PMA_MAPP_01_21_07.mzML	Myrmecocystus mexicanus	MAPP_01_21_07	7	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_08.mzML	20220610_PMA_MAPP_01_21_08.mzML	Myrmecocystus mexicanus	MAPP_01_21_08	8	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_09.mzML	20220610_PMA_MAPP_01_21_09.mzML	Myrmecocystus mexicanus	MAPP_01_21_09	9	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_10.mzML	20220610_PMA_MAPP_01_21_10.mzML	Myrmecocystus mexicanus	MAPP_01_21_10	10	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_11.mzML	20220610_PMA_MAPP_01_21_11.mzML	Myrmecocystus mexicanus	MAPP_01_21_11	11	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_12.mzML	20220610_PMA_MAPP_01_21_12.mzML	Myrmecocystus mexicanus	MAPP_01_21_12	12	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_13.mzML	20220610_PMA_MAPP_01_21_13.mzML	Myrmecocystus mexicanus	MAPP_01_21_13	13	6	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_14.mzML	20220610_PMA_MAPP_01_21_14.mzML	Myrmecocystus mexicanus	MAPP_01_21_14	16	5	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_15.mzML	20220610_PMA_MAPP_01_21_15.mzML	Myrmecocystus mexicanus	MAPP_01_21_15	17	3	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_16.mzML	20220610_PMA_MAPP_01_21_16.mzML	Myrmecocystus mexicanus	MAPP_01_21_16	18	3	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_17.mzML	20220610_PMA_MAPP_01_21_17.mzML	Myrmecocystus mexicanus	MAPP_01_21_17	19	3	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_18.mzML	20220610_PMA_MAPP_01_21_18.mzML	Myrmecocystus mexicanus	MAPP_01_21_18	20	3	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_19.mzML	20220610_PMA_MAPP_01_21_19.mzML	Myrmecocystus mexicanus	MAPP_01_21_19	21	3	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_20.mzML	20220610_PMA_MAPP_01_21_20.mzML	Myrmecocystus mexicanus	MAPP_01_21_20	22	3	1	27/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_21.mzML	20220610_PMA_MAPP_01_21_21.mzML	Myrmecocystus mexicanus	MAPP_01_21_21	24	4	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_22.mzML	20220610_PMA_MAPP_01_21_22.mzML	Myrmecocystus mexicanus	MAPP_01_21_22	25	4	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_23.mzML	20220610_PMA_MAPP_01_21_23.mzML	Myrmecocystus mexicanus	MAPP_01_21_23	26	4	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_24.mzML	20220610_PMA_MAPP_01_21_24.mzML	Myrmecocystus mexicanus	MAPP_01_21_24	27	4	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_25.mzML	20220610_PMA_MAPP_01_21_25.mzML	Myrmecocystus mexicanus	MAPP_01_21_25	28	4	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_26.mzML	20220610_PMA_MAPP_01_21_26.mzML	Myrmecocystus mexicanus	MAPP_01_21_26	29	2	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_27.mzML	20220610_PMA_MAPP_01_21_27.mzML	Myrmecocystus mexicanus	MAPP_01_21_27	30	2	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_28.mzML	20220610_PMA_MAPP_01_21_28.mzML	Myrmecocystus mexicanus	MAPP_01_21_28	31	2	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_29.mzML	20220610_PMA_MAPP_01_21_29.mzML	Myrmecocystus mexicanus	MAPP_01_21_29	38	5	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_30.mzML	20220610_PMA_MAPP_01_21_30.mzML	Myrmecocystus mexicanus	MAPP_01_21_30	39	5	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_31.mzML	20220610_PMA_MAPP_01_21_31.mzML	Myrmecocystus mexicanus	MAPP_01_21_31	40	5	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_32.mzML	20220610_PMA_MAPP_01_21_32.mzML	Myrmecocystus mexicanus	MAPP_01_21_32	41	5	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_33.mzML	20220610_PMA_MAPP_01_21_33.mzML	Myrmecocystus mexicanus	MAPP_01_21_33	42	5	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_34.mzML	20220610_PMA_MAPP_01_21_34.mzML	Myrmecocystus mexicanus	MAPP_01_21_34	43	5	1	28/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_35.mzML	20220610_PMA_MAPP_01_21_35.mzML	Myrmecocystus mexicanus	MAPP_01_21_35	46	2	1	26/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_36.mzML	20220610_PMA_MAPP_01_21_36.mzML	Myrmecocystus mexicanus	MAPP_01_21_36	47	2	1	26/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_37.mzML	20220610_PMA_MAPP_01_21_37.mzML	Myrmecocystus mexicanus	MAPP_01_21_37	48	2	1	26/02/2022	crickets and sugar water 2 24 2022	sample
20220610_PMA_MAPP_01_21_38.mzML	20220610_PMA_MAPP_01_21_38.mzML	Myrmecocystus mexicanus	MAPP_01_21_38	49	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_39.mzML	20220610_PMA_MAPP_01_21_39.mzML	Myrmecocystus mexicanus	MAPP_01_21_39	50	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_40.mzML	20220610_PMA_MAPP_01_21_40.mzML	Myrmecocystus mexicanus	MAPP_01_21_40	51	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_41.mzML	20220610_PMA_MAPP_01_21_41.mzML	Myrmecocystus mexicanus	MAPP_01_21_41	52	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_42.mzML	20220610_PMA_MAPP_01_21_42.mzML	Myrmecocystus mexicanus	MAPP_01_21_42	53	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_43.mzML	20220610_PMA_MAPP_01_21_43.mzML	Myrmecocystus mexicanus	MAPP_01_21_43	54	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_44.mzML	20220610_PMA_MAPP_01_21_44.mzML	Myrmecocystus mexicanus	MAPP_01_21_44	55	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_45.mzML	20220610_PMA_MAPP_01_21_45.mzML	Myrmecocystus mexicanus	MAPP_01_21_45	56	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_46.mzML	20220610_PMA_MAPP_01_21_46.mzML	Myrmecocystus mexicanus	MAPP_01_21_46	57	7	1	28/02/2022	never fed wild	sample
20220610_PMA_MAPP_01_21_QC.mzML	20220610_PMA_MAPP_01_21_QC.mzML	nd	MAPP_01_21_qc	nd	nd	nd	nd	nd	qc
20220610_PMA_MAPP_01_21_QC_20220610152046.mzML	20220610_PMA_MAPP_01_21_QC_20220610152046.mzML	nd	MAPP_01_21_qc	nd	nd	nd	nd	nd	qc
20220610_PMA_MAPP_01_21_QC_20220610153638.mzML	20220610_PMA_MAPP_01_21_QC_20220610153638.mzML	nd	MAPP_01_21_qc	nd	nd	nd	nd	nd	qc
20220610_PMA_MAPP_01_21_QC_20220610184638.mzML	20220610_PMA_MAPP_01_21_QC_20220610184638.mzML	nd	MAPP_01_21_qc	nd	nd	nd	nd	nd	qc
20220610_PMA_MAPP_01_21_QC_20220610215638.mzML	20220610_PMA_MAPP_01_21_QC_20220610215638.mzML	nd	MAPP_01_21_qc	nd	nd	nd	nd	nd	qc
20220610_PMA_MAPP_01_21_QC_20220611005051.mzML	20220610_PMA_MAPP_01_21_QC_20220611005051.mzML	nd	MAPP_01_21_qc	nd	nd	nd	nd	nd	qc
20220610_PMA_MAPP_01_21_QC_20220611044825.mzML	20220610_PMA_MAPP_01_21_QC_20220611044825.mzML	nd	MAPP_01_21_qc	nd	nd	nd	nd	nd	qc
20220610_PMA_MAPP_01_21_bk.mzML	20220610_PMA_MAPP_01_21_bk.mzML	nd	MAPP_01_21_bk	nd	nd	nd	nd	nd	bk
